scope,condition,epsilon,seed,subject,regime,model,balanced_accuracy,macro_f1,advantage_over_chance,session_accuracy
utility,clean,,,1,,personalized_logistic_regression,0.767361111111111,0.7680261954543319,,
utility,clean,,,2,,personalized_logistic_regression,0.4722222222222222,0.44059467794385304,,
utility,clean,,,3,,personalized_logistic_regression,0.8263888888888888,0.8167732985792284,,
utility,clean,,,4,,personalized_logistic_regression,0.5833333333333333,0.5811963209661419,,
utility,clean,,,5,,personalized_logistic_regression,0.4652777777777778,0.44707803177249206,,
utility,clean,,,6,,personalized_logistic_regression,0.5034722222222222,0.4996453687866543,,
utility,clean,,,7,,personalized_logistic_regression,0.6284722222222223,0.5995798154103462,,
utility,clean,,,8,,personalized_logistic_regression,0.6111111111111112,0.6157431360649752,,
utility,clean,,,9,,personalized_logistic_regression,0.6527777777777778,0.6559302870999717,,
utility,clipped,,,1,,personalized_logistic_regression,0.767361111111111,0.7680261954543319,,
utility,clipped,,,2,,personalized_logistic_regression,0.4756944444444444,0.44511036747756255,,
utility,clipped,,,3,,personalized_logistic_regression,0.8298611111111112,0.8199086379466126,,
utility,clipped,,,4,,personalized_logistic_regression,0.5833333333333333,0.5811963209661419,,
utility,clipped,,,5,,personalized_logistic_regression,0.4652777777777778,0.44361341440943425,,
utility,clipped,,,6,,personalized_logistic_regression,0.5,0.49552278468253563,,
utility,clipped,,,7,,personalized_logistic_regression,0.6284722222222223,0.5995798154103462,,
utility,clipped,,,8,,personalized_logistic_regression,0.6076388888888888,0.6124218263230503,,
utility,clipped,,,9,,personalized_logistic_regression,0.6423611111111112,0.6465183870237909,,
utility,analytic_gaussian,0.5,42,1,,personalized_logistic_regression,0.25,0.2496544102365345,,
utility,analytic_gaussian,0.5,42,2,,personalized_logistic_regression,0.2326388888888889,0.23011922612775754,,
utility,analytic_gaussian,0.5,42,3,,personalized_logistic_regression,0.2465277777777778,0.24240509284477219,,
utility,analytic_gaussian,0.5,42,4,,personalized_logistic_regression,0.24305555555555555,0.24298541682647645,,
utility,analytic_gaussian,0.5,42,5,,personalized_logistic_regression,0.2534722222222222,0.2532191389823484,,
utility,analytic_gaussian,0.5,42,6,,personalized_logistic_regression,0.25,0.24958680412832362,,
utility,analytic_gaussian,0.5,42,7,,personalized_logistic_regression,0.25,0.24969837962867644,,
utility,analytic_gaussian,0.5,42,8,,personalized_logistic_regression,0.2604166666666667,0.2533436077466261,,
utility,analytic_gaussian,0.5,42,9,,personalized_logistic_regression,0.2465277777777778,0.24589574877833267,,
utility,task_weighted_empirical,0.5,42,1,,personalized_logistic_regression,0.2881944444444444,0.2878012851988144,,
utility,task_weighted_empirical,0.5,42,2,,personalized_logistic_regression,0.2569444444444444,0.25404393712208545,,
utility,task_weighted_empirical,0.5,42,3,,personalized_logistic_regression,0.2604166666666667,0.2628135666635078,,
utility,task_weighted_empirical,0.5,42,4,,personalized_logistic_regression,0.2534722222222222,0.2527751035181587,,
utility,task_weighted_empirical,0.5,42,5,,personalized_logistic_regression,0.2673611111111111,0.266828529657477,,
utility,task_weighted_empirical,0.5,42,6,,personalized_logistic_regression,0.23958333333333334,0.23896687241684264,,
utility,task_weighted_empirical,0.5,42,7,,personalized_logistic_regression,0.31597222222222227,0.31445544262778025,,
utility,task_weighted_empirical,0.5,42,8,,personalized_logistic_regression,0.2534722222222222,0.2533112606108917,,
utility,task_weighted_empirical,0.5,42,9,,personalized_logistic_regression,0.2465277777777778,0.24193078746650176,,
utility,analytic_gaussian,0.5,123,1,,personalized_logistic_regression,0.23611111111111113,0.23571649014207804,,
utility,analytic_gaussian,0.5,123,2,,personalized_logistic_regression,0.2986111111111111,0.2981375886932517,,
utility,analytic_gaussian,0.5,123,3,,personalized_logistic_regression,0.1909722222222222,0.1914487848205833,,
utility,analytic_gaussian,0.5,123,4,,personalized_logistic_regression,0.2604166666666667,0.2603973270023224,,
utility,analytic_gaussian,0.5,123,5,,personalized_logistic_regression,0.3020833333333333,0.2992866535180707,,
utility,analytic_gaussian,0.5,123,6,,personalized_logistic_regression,0.22916666666666666,0.22691996423134503,,
utility,analytic_gaussian,0.5,123,7,,personalized_logistic_regression,0.28125,0.28074970938183963,,
utility,analytic_gaussian,0.5,123,8,,personalized_logistic_regression,0.24305555555555555,0.24267901357844368,,
utility,analytic_gaussian,0.5,123,9,,personalized_logistic_regression,0.2847222222222222,0.28329320702738425,,
utility,task_weighted_empirical,0.5,123,1,,personalized_logistic_regression,0.2361111111111111,0.23579114347115945,,
utility,task_weighted_empirical,0.5,123,2,,personalized_logistic_regression,0.22569444444444442,0.22473533660584016,,
utility,task_weighted_empirical,0.5,123,3,,personalized_logistic_regression,0.21875,0.21658978445382027,,
utility,task_weighted_empirical,0.5,123,4,,personalized_logistic_regression,0.24999999999999997,0.24867762724309211,,
utility,task_weighted_empirical,0.5,123,5,,personalized_logistic_regression,0.2743055555555556,0.2716503191600275,,
utility,task_weighted_empirical,0.5,123,6,,personalized_logistic_regression,0.19444444444444445,0.19390763686386092,,
utility,task_weighted_empirical,0.5,123,7,,personalized_logistic_regression,0.2604166666666667,0.25890860519620074,,
utility,task_weighted_empirical,0.5,123,8,,personalized_logistic_regression,0.22569444444444448,0.22590595018517518,,
utility,task_weighted_empirical,0.5,123,9,,personalized_logistic_regression,0.2743055555555555,0.27339285689595805,,
utility,analytic_gaussian,0.5,456,1,,personalized_logistic_regression,0.24305555555555555,0.2437204655809307,,
utility,analytic_gaussian,0.5,456,2,,personalized_logistic_regression,0.2847222222222222,0.28337708335897266,,
utility,analytic_gaussian,0.5,456,3,,personalized_logistic_regression,0.19791666666666666,0.19564578193610452,,
utility,analytic_gaussian,0.5,456,4,,personalized_logistic_regression,0.2534722222222222,0.2543835443835444,,
utility,analytic_gaussian,0.5,456,5,,personalized_logistic_regression,0.2222222222222222,0.22253063219690855,,
